"","partial.name","regex","full.name"
"12468","The Walt Disney Company Benelux BVBA","the walt disney company benelux bvba",""
"12469"," ECPMF","ecpmf",""
"12470"," Media Defence","media defence",""
"12471"," Index on Censorship","index on censorship",""
"12472"," Reporters without Border","reporters without border",""
"12473"," Daphne Caruana Galizia Foundation","daphne caruana galizia foundation",""
"12474"," Osservatorio Balcani Caucaso","osservatorio balcani caucaso",""
"12475","Thomas Pickartz German Perm Rep","thomas pickartz german perm rep",""
"12476","SEE Change Netwrok","see change netwrok",""
"12477"," Reporters without borders","reporters without borders",""
"12478","Thyssen Krupp","thyssen krupp",""
"12479","European Civic Forum","european civic forum",""
"12480"," Svydovets Friendship Group","svydovets friendship group",""
"12481","European office of the German association of Towns and Municipalities","european office of the german association of towns and municipalities",""
"12482","TIC","tic",""
"12483","DW","dw",""
"12484","Euroolympics","euroolympics",""
"12485","Fondation Euractiv","fondation euractiv",""
"12486","ACES EUROPE","aces europe",""
"12487","TIE (toyindustries.eu)","tie toyindustries eu",""
"12488","PEN America","pen america",""
"12489"," Crimean Human Rights Group","crimean human rights group",""
"12490"," Media Initiative for Human Rights","media initiative for human rights",""
"12491"," Crimean Solidarity group","crimean solidarity group",""
"12492","ODFoundation","odfoundation",""
"12493","Sdružení automobilového prumyslu","sdružení automobilového prumyslu",""
"12494","Vitkovice Heavy Machinery","vitkovice heavy machinery",""
"12495","Ceská technologická platforma pro udržitelnou chemii (SusChem Ceská republika)","ceská technologická platforma pro udržitelnou chemii suschem ceská republika",""
"12496","Sellier & Bellot","sellier bellot",""
"12497","Director General of the European Steel Association EUROFER","director general of the european steel association eurofer",""
"12498","NGO Monitor","ngo monitor",""
"12499","Czech director IFPI","czech director ifpi",""
"12500","AUTOSAP","autosap",""
"12501","FACE – European Federation for Hunting and Conservation)","face european federation for hunting and conservation",""
"12502","Golden Gate/Ragavim","golden gate ragavim",""
"12503","Ceská asociace obehového hospodárství","ceská asociace obehového hospodárství",""
"12504","Tilder","tilder",""
"12505","TILDER","tilder",""
"12506","Tim Houter","tim houter",""
"12507"," Tim Houter","tim houter",""
"12508"," Kees de Koning","kees de koning",""
"12509","Timo Harakka","timo harakka",""
"12510"," minister of transportation and communication of Finland","minister of transportation and communication of finland",""
"12511","TNO","tno",""
"12512","TNO Delft","tno delft",""
"12513","Togo All Star","togo all star",""
"12514","Toni Garcia (NIKE Government & Public Affairs)","toni garcia nike government public affairs",""
"12515","Too Good To Go","too good to go",""
"12516","TOTAL","total",""
"12517","Total: Arnaud Chaperon","total arnaud chaperon",""
"12518","Toy Industries","toy industries",""
"12519"," Eucolight","eucolight",""
"12520"," CEPS Digital Forum","ceps digital forum",""
"12521"," EDRI - European Digital Rights","edri european digital rights",""
"12522"," Santander","santander",""
"12523"," News Media Europe","news media europe",""
"12524"," Centre Europeen des Consommateurs","centre europeen des consommateurs",""
"12525"," LIDL","lidl",""
"12526"," HOTREC","hotrec",""
"12527","Trade Counselor of Vietnam","trade counselor of vietnam",""
"12528","Trade Union Development Cooperation Network","trade union development cooperation network",""
"12529","Trade Union Development Cooperation Network – TUDCN","trade union development cooperation network tudcn",""
"12530","Trans-Atlantic Business Council","trans atlantic business council",""
"12531","Transferwise","transferwise",""
"12532","Transgaz","transgaz",""
"12533","Transição Energética","transição energética",""
"12534"," Novas Tecnologias e Comunicação","novas tecnologias e comunicação",""
"12535"," GALP","galp",""
"12536","Transitie Coalitie Voedsel / ERT Instituut voor Milieuvraagstukken / Stichting Natuur & Milieu","transitie coalitie voedsel ert instituut voor milieuvraagstukken stichting natuur milieu",""
"12537","Transitieteam circulair bouwen","transitieteam circulair bouwen",""
"12538","Transparency Internantional EU","transparency internantional eu",""
"12539","Transparency International:","transparency international",""
"12540","Transport and enviroment","transport and enviroment",""
"12541","transport and environment","transport and environment",""
"12542","Transport and Environment (European Federation for Transport and Environment)","transport and environment european federation for transport and environment",""
"12543","Transport and Environment (European Federation for Transport and Environment) (T&E)","transport and environment european federation for transport and environment t e",""
"12544","Transport and Environment (European Federation for Transport and Environment) (T&E) 58744833263-19","transport and environment european federation for transport and environment t e 58744833263 19",""
"12545"," Fedor Unterloher","fedor unterloher",""
"12546","Transport and Environment (T&E)","transport and environment t e",""
"12547","Transport and Environment:","transport and environment",""
"12548","Transport and Logistics Poland","transport and logistics poland",""
"12549","Shomron Regional Council - International Relations Executive Director","shomron regional council international relations executive director",""
"12550","Taipei Representative Office in the EU and Belgium - Second Secretary","taipei representative office in the eu and belgium second secretary",""
"12551","Women's Committee of the National Council of Resistance of Iran - Elham Zanjani","women s committee of the national council of resistance of iran elham zanjani",""
"12552","Katerina Vrublova - Policy Advisor Copa Gogeca","katerina vrublova policy advisor copa gogeca",""
"12553","Transport et environnement (T&E)","transport et environnement t e",""
"12554","Transport&Envionment","transport envionment",""
"12555","transport&environment","transport environment",""
"12556","Treffen FoodDrinksEurope","treffen fooddrinkseurope",""
"12557","Triballat Noyal","triballat noyal",""
"12558","Twitter","twitter",""
"12559","U.S. Chamber of Commerce","u s chamber of commerce",""
"12560","UBA","uba",""
"12561","Uber global Data Protection officer & EU40","uber global data protection officer eu40",""
"12562","UCTL Union de la Criadores de Toros de Lidia -Union of Toro Bravo Breeders of Spain","uctl union de la criadores de toros de lidia union of toro bravo breeders of spain",""
"12563"," France and Portugal","france and portugal",""
"12564","UFE","ufe",""
"12565","UFE - Union Française de l'Electricité","ufe union française de l electricité",""
"12566","UHM - Union Haddiema Maqghudin","uhm union haddiema maqghudin",""
"12567","UiPath","uipath",""
"12568","UIRR","uirr",""
"12569","UITP","uitp",""
"12570","UK Department for International Trade","uk department for international trade",""
"12571","UK Embassy in Germany","uk embassy in germany",""
"12572","UK House of Lords","uk house of lords",""
"12573","UK mission to the EU","uk mission to the eu",""
"12574","EFSA","efsa",""
"12575"," Nikolaus Kriz","nikolaus kriz",""
"12576","KELAG Christian Schwarz","kelag christian schwarz",""
"12577","Shpresa Loshaj","shpresa loshaj",""
"12578","River Watch","river watch",""
"12579","ZAR","zar",""
"12580"," EZG","ezg",""
"12581","BIO Austria","bio austria",""
"12582","Center of Enviroment","center of enviroment",""
"12583"," Tihomir Dakic","tihomir dakic",""
"12584","Frank Schwabe","frank schwabe",""
"12585"," Parliamentary Assembly of the Council of Europe","parliamentary assembly of the council of europe",""
"12586","Euronatur; Gabriel Schwaderer","euronatur gabriel schwaderer",""
"12587","Greenpeace Romania","greenpeace romania",""
"12588","DKA","dka",""
"12589","Tierschutzvolksbegehren","tierschutzvolksbegehren",""
"12590"," FFF","fff",""
"12591","Animal Welfare Organisations","animal welfare organisations",""
"12592","Center for Environment","center for environment",""
"12593","Kelag","kelag",""
"12594","Centre for Investigative Reporting","centre for investigative reporting",""
"12595"," LKÖ","lkö",""
"12596","BMSGPK","bmsgpk",""
"12597","Land schafft Verbindung","land schafft verbindung",""
"12598","CZZS","czzs",""
"12599","EUFOR","eufor",""
"12600","EULEX","eulex",""
"12601","four paws","four paws",""
"12602","Riverwatch","riverwatch",""
"12603","Trailblazers","trailblazers",""
"12604","Queer Montenegro","queer montenegro",""
"12605","Heinrich Böll Stiftung Sarajevo","heinrich böll stiftung sarajevo",""
"12606","Green Squad","green squad",""
"12607","Austrian Perm Rep","austrian perm rep",""
"12608","Ozone Environmental Movement","ozone environmental movement",""
"12609","European Left Group","european left group",""
"12610","Volt Europe","volt europe",""
"12611","ChargePoint","chargepoint",""
"12612"," Hallvarsson & Halvarsson","hallvarsson halvarsson",""
"12613","Plagazi","plagazi",""
"12614","Linköpings universitet","linköpings universitet",""
"12615","AI Sweden","ai sweden",""
"12616"," Region Halland","region halland",""
"12617"," Örebro Universitet","örebro universitet",""
"12618"," Google Sverige","google sverige",""
"12619"," AB Volvo","ab volvo",""
"12620","Silo AI","silo ai",""
"12621","Export USA","export usa",""
"12622","Trelleborgs hamn","trelleborgs hamn",""
"12623"," Trelleborgs kommun","trelleborgs kommun",""
"12624","Google Sverige","google sverige",""
"12625","Microsoft Sverige","microsoft sverige",""
"12626","Sahlgrenska universitetssjukhuset","sahlgrenska universitetssjukhuset",""
"12627"," Västra Götalandsregionen","västra götalandsregionen",""
"12628","Einride","einride",""
"12629","Embark Studios","embark studios",""
"12630","Region Halland","region halland",""
"12631","Astra Zeneca","astra zeneca",""
"12632","Sveriges ambassad i Washington","sveriges ambassad i washington",""
"12633"," LimeTreeLake","limetreelake",""
"12634","Peltarion","peltarion",""
"12635","IT- och telekomföretagen","it och telekomföretagen",""
"12636","Dataspelsbranschen","dataspelsbranschen",""
"12637","Castellum","castellum",""
"12638"," Soltech Energy Sweden","soltech energy sweden",""
"12639","Scandlines","scandlines",""
"12640"," Bil Sweden","bil sweden",""
"12641"," Trä- och möbelföretagen","trä och möbelföretagen",""
"12642"," Teknikföretagen","teknikföretagen",""
"12643"," Jernkontoret","jernkontoret",""
"12644"," IT- och telekomföretagen","it och telekomföretagen",""
"12645"," Innovations- och kemiindustrierna","innovations och kemiindustrierna",""
"12646","IE University","ie university",""
"12647","Iteam","iteam",""
"12648","Nestlé Norden","nestlé norden",""
"12649","Ekkono AI","ekkono ai",""
"12650","Nilson Group","nilson group",""
